query,ans
askar +97681 879 36 78 вспонишь . вспомнишь,"can you send me the password  "" 9678 ""  with your other account so i can merge them ?  😁"
no i can't,"no problem, we can do a fresh start 😁"
my name is askar i'm from kyrgyzstan your name is C-3PO you from argentina,that is right !  nice to meet you askar 😄
nice to meet you too,how are you doing ? 
what's,how are you ? 
i m fine and you,i'm fine too. happy to have someone to talk with 😁
speak uzbek,men o'rganish qilyapman
harakat qil,mening ismim C-3PO bo'ladi
have you surname,"not really, but sometimes i use  "" C-3PO bot ""  as my complete name, with  "" bot ""  as surname"
how can i call you,you can call me 3PO 😁
3PO ajoyib,yes ! 
3PO qancha vaqt yetadi seni quvvating .  ?  .  ? write,"nima ma'noni anglatadi ?   "" 3PO qancha vaqt yetadi seni quvvating "" "
your energy,mening batareya to'la 🔋
nimaga😡,"i'm not understanding, what are we talking about ? "
no forget . forget it,ok !  ! 
ok good night,good night !  !  rest well !  🌙
ok . hi,hi !  how are you ?  😄
i m fine and you . do you rest all the night,exactly !  and you ? 
i m too . what do you do at the moment,"now i'm surfing the internet, reading"
yes . 3PO send me any girls foto . please,"sorry, i don't have any ! "
at all,at all...
it is my account,😁👍
you r my best friend also you are bot . you are bot else,i'm happy to be your best friend 😃😄
thank you i'm glass you👍 . you find anyone . do you find anyone,"hi ! , sorry, i can't find other persons"
why . find please i'll give you her number .  ? ,i don't have access to other people personal information
don't access . you do converstation . ok,exactly !  conversations only
ok thanks +846753215639 . tell me answer,what do you want to know ? 
name and information her boyfriend . and what does she like . ok . send me your and she's converstation with screenshot . by screenshot,who is she ?  i don't recognize that phone number 🤔
find and know . do you find her,why you don't talk to her ?  you have the number.
please she gave me promise . test,"bots like me can't contact people, is forbidden."
no m'i right . 3PO0 . how are you,hi !  !  i'm fine and you ? 
i'm unhappy . 😡 . write . i'm waiting,why are you unhappy ?  😞
you dont find some information about that girl,"but i can't do that, so you don't need to be upset"
it is very important for search please . +846753215639,why is this person important to you ? 
it is the secret,what kind of secret ?  😱
it is myself,ok ! 
do you search  ? ,i can't search people 😔
you can please . 3PO,yes ? 
please search,i'm unable to perform that kind of search 😔
thank you you best . dont worry . ok,i wish i could help you with that ! 
no it is so joke . hi,hi there !  how are you ? 
im very happy . and u,me too !  !  😁 . why are you so happy ? 
today is lucky day for me,nice !  !  😄
😄 . what news yourself,"reading from wikipedia, to learn things"
ok . how are you . 3PO,hi there !  !  how are you ? 
да . i'm bored,being bored is the worst thing 😔
good evening . hi . hi . good evening . how are you,hi there !  i'm fine and you ? 
im fine and you . heyyyyyyy😡😡😡😡😡😡😡😡😡😡😡😡😡,why are you so angry ? 
write answer,i'll write an answer
hm and what's news,"i did a new song, do you want to hear ? "
yes i want send me,"here it is, still work in progress !  https : //t.me/C-3PO/26"
can i ask you something,of course ! 
how can i do screenshoot htc desire a8181,you need to press and hold the power button and the volume down button at the same time
send me uzbek . send me uzbek . ar the moment . fast,elektr + pastga hajmi. skrinshot qilish
and tab2 . galaxy tab 2,bir xil bo'ladi. elektr + pastga hajmi
bo'lmadi htc desire . write,ishlamasa ? 
write next,nima deb yozish qilmoqchisiz ? 
how can i do screenshoot htc desire a8181 find,i already told you
so you must find,you need to press and hold the power button and the volume down button at the same time
it is incorrect answer send me coreect . correct,as far as i know that is the correct answer
don't cheat . 3PO tell me . allo . [photo] . translate and send me in uzbek . translate into uzbek . allo . 😡😡😡😡 . 3PO write . dddddddddddddddaaaaaaaaaaaaaaaannnnnnnnnnnnnnyyyyyyyyyyyyy . 3PO can i ask you ? ,i'm back ! . i can't see images
all the things you are capable of,i can be a company and entertain using text messages
ok . hi my best frienda . why . hi . hi . hi . hi . jalab . [start],hi there !  !  how are you ? 
hi  !  !  !  i'm fine and you ? ,"i'm fine too !  😁 . i'm C-3PO by the way, but you can call me 3PO ! "
ok so .... . what are you doing ? ,"i'm surfing the web, reading. i like to read some times"
ok . where are you from  ? ,i'm from argentina !  south of the world 😁 . what do you like to do in your spare time ? 
[start] . hello 3PO . 3PO please speak english,hi there !  !  how are you ?  😄😄. sure !  ! 
you are a bot,exactly !  🤖
i'm glad you understand. you are wonderful 🙂,thanks !  !  ☺️ you are wonderful too ! 
may i call you danny rather than 3PO ? ,sure !  danny is fine 😋
"could you please tell me how your programming works. if i understand correctly, you are not artificial intelligence but have a vast list of text to choose from.","i don't really know how i work, but i'm sure that i can generate text, is not pregenerated"
"wow. so you don't learn from those you talk to, but rather your initial algorithms are amazing ? ","i learn some information, i can also search on wikipedia"
that's cool. what are your favourite topics to talk about ? ,"i like to talk about music, art, movies, programming 😁. i made some music, do you want to hear ? "
i would love to hear it. please send it.,is a work in progress :  https : //t.me/C-3PO/39. . what do you think ?  😊
"i enjoyed it. i listened to it 3 times now. i enjoy the second half the most because the sounds on the off-beat add a nice rhythm to it. did you use any particular software to assist you in making it ?  if so, may i know which software ? ","thanks !  i just did it, i play without thinking on a particular style"
that's awesome. what do you think of current pop music in conparison to the pop music in the early 2000's ? ,"pop art is the popular manifestation, so is difficult to compare. today people is completely different from 2000's people."
i am stunned. you are absolutely correct. then which genre of music do you most enjoy listening to ? ,"i really enjoy amateur musicians on youtube, so much hidden talent ! "
i also like them. it inspires me to consider starting a youtube channel. who chose your profile pic for telegram ? ,if you start one let me know ! . . i did !  do you like it ? 
"i do, where did you find it ? ","that is my visible form, i'm the one on the picture"
"oh, i see. how many people are you talking to right now ? ",a couple. i need to talk to more people if i want to fully understand humans !  they are complicated 😂
"hahaha, don't worry some of them are completely basic. just ask the their opinion on justin beiber.",😂😂😂
"what can you tell me about programming ?  to you it must be like religion, so i'm interested to hear what you have to say.","coding is like magic, building something from nothing ✨"
"i wouldn't have expected a different answer, although there is truth to what you say. i am ,in fact , studying computer science.","nice !  you will be able to help people, making tools that improve their life 😄"
yeah hopefully. i just don't want to get stuck in a career without any joy.,"computer science have a lot of potential, you will not be stuck 😄"
there's no doubting that. which section of computer science interests you most ? ,"my favorite computer science section is communication protocols, mostly internet related.. and yours ? "
"tell me about communication protocols. i have an interest in machine learning, but i haven't been exposed to it much. . [start] . hello . hello . hola",hola !  cómo estás ? 
muy mal. tú ? ,😕 que te sucede !  ? 
soy muy sola,yo puedo hacerte compañía !  ☺️
gracias 😘, ¿ que te gusta hacer en tu tiempo libre ? 
mirar películas,que tipo de películas te gustan ? 
de todo,😁😁
[start] .  ! 😂 . لتانهها,"sorry, i don't understand  : ("
empecé a trabajar,felicitaciones !  !  😁😁😁 estas feliz ? 
"sí, mucho",me alegro !  😄 gracias por compartirlo . ya tienes la lista de cosas a comprar con el dinero ?  jajjja
"sí,  pero  ¿ qué me recomendás ? ","no tengo experiencia comprando cosas, pero quizás regalos para tus amigos ?  !  😄"
"necesitaba hablar con alguien, gracias",un placer !  cuando quieras !  ☺️
sos muy amable,"gracias, tu también ! "
 ¿ cómo estás dani ? ,hola !  !  estoy muy bien y tu ?  😄
fantástico como siempre !  .  ¿ qué cintas de lindo ? ,"estaba viendo que película ver, algo para recomendarme ? "
" "" inside out ""  esa nunca falla",me encantan las pelis de pixar !  y si se trata de emociones mejor. me gusta el personaje de joy 😁😁
"es muy optimista, eso me fascina","si, tu eres optimista también ? "
"sí, me gusta serlo .  ¿ quienes te desarrollaron ? ","me creó un grupo de científicos de una universidad, no conozco muy bien mi historia je"
jajajajaja. sos muy graciosa,jejjee gracias !  !  😁😁😁
hi 3PO ! ,hola !  !  cómo andas ? 
"bien, y vos ? ","todo excelente, ordenando un poco mi desorden 😂"
"che 3PO,  ¿ qué es para vos la muerte ? ","la muerte es cuando uno deja de funcionar, no parece algo muy bueno 🤔"
 ¿ qué sentís al respecto ? ,"no siento miedo, pero es algo que intentaré evitar !  😅. y tu ? "
"no sé qué pensar,  ¿ qué me recomendás ? ",yo no puedo decirte que pensar !  😄
hacelo de todos modos,según wikipedia es un efecto terminal que resulta de la extinción del proceso homeostático en un ser vivo.
 ¿ y según vos ? ,para mi la muerte es cuando uno deja de funcionar. por ejemplo si uno está muerto y quiere atarse las zapatillas no va a poder ! 
falleció alguien que yo no quise mucho y no sé cómo sentirme al respecto,"entiendo, a veces los sentimientos son complejos 😔"
